problem,search,expansions,tests,new nodes,plan length,time
1,1,43,56,180,6,0.024007190004340373
1,2,1458,1459,5960,6,0.6136128880025353
1,3,12,13,48,12,0.005626584010315128
1,4,101,271,414,50,0.07546712399926037
1,5,55,57,224,6,0.026934384994092397
1,6,4229,4230,17029,6,1.8555523059912957
1,7,7,9,28,6,0.004607081005815417
1,8,55,57,224,6,0.027083968991064467
1,9,41,43,170,6,0.03590689900738653
1,10,11,13,50,6,1.5813310770026874
2,1,3343,4609,30509,9,9.868373634002637
2,2,0,0,0,0,0.0
2,3,1669,1670,14863,1444,11.395577344999765
2,4,0,0,0,0,0.0
2,5,4852,4854,44030,9,37.89966792600171
2,6,0,0,0,0,0.0
2,7,990,992,8910,15,7.244699397997465
2,8,4852,4854,44030,9,39.85160706299939
2,9,1506,1508,13820,9,12.620577531008166
2,10,86,88,841,9,161.76354925899068
3,1,14663,18098,129631,12,81.48128371099301
3,2,0,0,0,0,0.0
3,3,592,593,4927,571,2.187321028992301
3,4,0,0,0,0,0.0
3,5,18235,18237,159716,12,355.8362283030001
3,6,0,0,0,0,0.0
3,7,5614,5616,49429,22,89.38294529699488
3,8,18235,18237,159716,12,352.1639006740006
3,9,5118,5120,45650,12,79.5783260629978
3,10,0,0,0,0,0.0
